
=== AGV maze solver ===
RESET: power-on BROWNOUT  raw=5 
calibrating gyro, hold still...
offZ=-85 offX=-248 offY=-25 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,14,999,999,1,0,0,3,0,0,0,0,0,0,0,0,-6,-249,-20,0,0
0,14,43,8,1,1,0,3,0,0,0,0,0,0,0,0,-7,-250,-29,0,0
0,14,43,8,1,1,0,3,0,0,0,0,0,0,0,0,-13,-256,-16,0,0
0,14,43,8,1,1,0,3,0,0,0,0,0,0,0,0,9,-250,-35,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,12,-256,-8,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,8,-253,-33,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,7,-247,-25,0,0
0,14,53,8,1,1,0,3,0,0,0,0,0,0,0,0,4,-263,-29,0,0
0,14,51,8,1,1,0,3,0,0,0,0,0,0,0,0,-15,-251,-17,0,0
0,14,50,8,1,1,0,3,0,0,0,0,0,0,0,0,-5,-243,-12,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,2,-254,-14,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,0,-243,-19,0,0
0,14,57,8,1,1,0,3,0,0,0,0,0,0,0,0,1,-251,-25,0,0
0,14,57,8,1,1,0,3,0,0,0,0,0,0,0,0,7,-250,-22,0,0
0,14,55,8,1,1,0,3,0,0,0,0,0,0,0,0,6,-250,-19,0,0
0,14,55,8,1,1,0,3,0,0,0,0,0,0,0,0,-3,-249,-27,0,0
0,14,51,8,1,1,0,3,0,0,0,0,0,0,0,0,4,-235,-23,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,2,-244,-17,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,-3,-241,-33,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,-10,-250,-24,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,0,-243,-31,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,-12,-251,-27,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,-19,-249,-16,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,4,-248,-26,0,0
0,14,54,8,1,1,0,3,0,0,0,0,0,0,0,0,-10,-245,-20,0,0
0,14,54,8,1,1,0,3,3,0,0,0,-35,60,95,0,-6,-256,-23,1,0
0,14,53,9,1,1,0,0,1,-5,-3,2,-1,74,76,1,354,595,1267,1,0
0,14,51,9,1,1,0,0,0,-5,-7,2,-5,70,80,0,281,-1203,879,1,0
0,12,57,10,1,1,0,0,1,-2,-1,12,11,86,64,1,1483,-135,-2678,1,0
0,12,999,10,1,1,0,0,0,-2,-3,3,0,75,75,0,444,-568,-1362,1,0
0,11,999,12,1,1,0,0,1,1,0,2,2,77,73,1,287,-112,1455,1,0
0,10,64,12,1,1,0,0,1,2,1,1,2,77,73,1,223,-622,-1026,1,0
0,9,57,13,1,1,0,0,1,4,3,3,6,81,69,1,467,-861,-2553,1,0
0,9,53,15,1,1,0,0,1,6,4,-9,-5,70,80,1,-1165,-487,1387,1,0
0,5,46,15,1,1,0,0,2,0,0,0,35,95,60,1,-1289,294,-90,1,0
0,5,42,16,1,1,0,0,2,0,0,0,35,95,60,1,-3162,-1424,2182,1,0
0,4,38,16,1,1,0,0,2,0,0,0,35,95,60,1,-2900,389,875,1,0
0,7,30,14,1,1,0,0,2,0,0,0,35,95,60,1,-2333,-302,4458,1,0
MODE1: front obstacle -- stopped
0,9,24,13,1,1,0,0,0,0,0,0,0,0,0,1,3528,739,-5085,1,0
0,10,20,13,1,1,0,0,0,0,0,0,0,0,0,1,3796,21,5288,1,0
0,9,17,15,1,1,0,0,0,0,0,0,0,0,0,1,2253,534,-662,1,0
0,8,17,16,1,1,0,0,0,0,0,0,0,0,0,0,153,-155,2,1,0
0,7,16,15,1,1,0,0,0,0,0,0,0,0,0,0,81,-252,11,1,0
0,7,16,16,1,1,0,0,0,0,0,0,0,0,0,0,19,-256,-7,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-14,-252,-24,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-4,-242,-33,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-2,-240,-35,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,19,-249,-24,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-17,-233,-30,1,0
