
=== AGV maze solver ===
RESET: BROWNOUT  raw=4 
calibrating gyro, hold still...
offZ=-84 offX=-248 offY=-23 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,16,999,999,1,0,0,3,0,0,0,0,0,0,0,0,11,-243,-23,0,0
0,16,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-6,-244,-34,0,0
0,16,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-30,-237,-21,0,0
0,16,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-18,-259,-35,0,0
0,16,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-16,-242,-33,0,0
0,16,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-13,-253,-40,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,5,-256,-20,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-6,-257,-30,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-8,-263,-24,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-5,-241,-32,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,7,-245,-17,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,5,-250,-10,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-16,-235,-30,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,4,-241,-37,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-14,-250,-18,0,0
0,16,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-9,-255,-27,0,0
0,17,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-18,-255,-18,0,0
0,17,68,8,1,1,0,3,0,0,0,0,0,0,0,0,-16,-249,-25,0,0
0,17,68,8,1,1,0,3,0,0,0,0,0,0,0,0,13,-242,-32,0,0
0,17,68,8,1,1,0,3,0,0,0,0,0,0,0,0,-6,-260,-12,0,0
0,17,60,8,1,1,0,3,0,0,0,0,0,0,0,0,14,-253,-16,0,0
0,17,68,8,1,1,0,3,0,0,0,0,0,0,0,0,-13,-242,-18,0,0
0,17,67,8,1,1,0,3,0,0,0,0,0,0,0,0,17,-236,-23,0,0
0,17,66,8,1,1,0,3,0,0,0,0,0,0,0,0,6,-249,-7,0,0
0,17,66,8,1,1,0,3,0,0,0,0,0,0,0,0,-8,-243,-30,0,0
0,17,65,8,1,1,0,3,3,0,0,0,-35,60,95,0,-9,-255,-28,1,0
0,17,59,8,1,1,0,3,3,0,0,0,-35,60,95,1,3230,-869,729,1,0
0,16,65,8,1,1,0,3,3,0,0,0,-35,60,95,0,5426,283,353,1,0
0,15,49,12,1,1,0,0,1,-3,-2,6,4,79,71,1,741,-473,-2935,1,0
