
=== AGV maze solver ===
RESET: external  raw=2 
calibrating gyro, hold still...
offZ=-88 offX=-251 offY=-26 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,16,999,999,1,0,0,3,0,0,0,0,0,0,0,0,1,-256,-24,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-16,-253,-31,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,10,-243,-36,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-7,-249,-37,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,1,-256,-41,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-8,-254,-27,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-8,-249,-27,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,1,-250,-32,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-20,-263,-22,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-6,-255,-16,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-11,-248,-36,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-10,-242,-39,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-21,-254,-23,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-15,-267,-20,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-3,-253,-12,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-8,-246,-32,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-15,-251,-19,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,15,-255,-19,0,0
0,15,999,14,1,1,0,3,0,0,0,0,0,0,0,0,4,-253,-14,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,6,-251,-33,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,5,-253,-30,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-12,-261,-47,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,4,-262,-27,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-13,-256,-36,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-8,-253,-24,0,0
0,16,999,14,1,1,0,3,0,0,0,0,0,0,0,0,-8,-252,-24,0,0
0,16,999,14,1,1,0,0,0,-2,-3,-1,-4,71,79,0,-192,-337,461,1,0
0,17,999,14,1,1,0,0,1,-3,-2,-3,-5,70,80,1,-474,5,1050,1,0
0,17,65,13,1,1,0,0,0,-4,-6,2,-4,71,79,0,286,-381,-618,1,0
0,16,999,13,1,1,0,0,1,-3,-2,8,6,81,69,1,1021,-821,710,1,0
0,16,70,13,1,1,0,0,0,-3,-4,2,-2,73,77,0,263,-110,1316,1,0
0,17,70,12,1,1,0,0,0,-5,-7,3,-4,71,79,0,409,-861,1439,1,0
0,17,64,12,1,1,0,0,1,-5,-3,5,2,77,73,1,718,-156,-96,1,0
0,16,57,12,1,1,0,0,1,-4,-3,9,6,81,69,1,1101,-555,-561,1,0
0,17,50,12,1,1,0,0,1,-5,-3,1,-2,73,77,1,235,-758,108,1,0
0,17,44,11,1,1,0,0,1,-6,-4,3,-1,74,76,1,408,-370,279,1,0
0,16,41,12,1,1,0,0,0,-4,-6,6,0,75,75,0,809,901,37,1,0
0,16,38,13,1,1,0,0,1,-3,-2,5,3,78,72,1,701,-1075,2455,1,0
0,15,30,13,1,1,0,0,1,-2,-1,-1,-2,73,77,1,-142,-301,1646,1,0
MODE1: front obstacle -- stopped
0,16,24,13,1,1,0,0,0,0,0,0,0,0,0,0,167,-413,-475,1,0
0,16,20,14,1,1,0,0,0,0,0,0,0,0,0,1,-620,-335,111,1,0
0,16,16,13,1,1,0,0,0,0,0,0,0,0,0,1,-389,-980,325,1,0
0,16,11,11,1,1,0,0,0,0,0,0,0,0,0,0,-62,-234,-54,1,0
0,16,9,12,1,1,0,0,0,0,0,0,0,0,0,0,-14,-183,49,1,0
0,16,8,12,1,1,0,0,0,0,0,0,0,0,0,0,283,-243,-174,1,0
0,16,8,12,1,1,0,0,0,0,0,0,0,0,0,0,-140,-296,-53,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-31,-249,-22,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,2,-266,-32,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,5,-259,-26,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-16,-244,-22,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,1,-269,-40,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-14,-264,-26,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-20,-244,-12,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-5,-248,-8,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-6,-239,-37,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-12,-250,-29,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,0,-242,-24,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,15,-256,-42,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,7,-252,-40,1,0
0,15,7,12,1,1,0,0,0,0,0,0,0,0,0,0,15,-249,-24,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-3,-242,-25,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-11,-264,-33,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-13,-267,-35,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-9,-245,-30,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-2,-261,-7,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-16,-245,-34,1,0
0,16,7,12,1,1,0,0,0,0,0,0,0,0,0,0,-16,-252,-22,1,0
