
=== AGV maze solver ===
RESET: BROWNOUT  raw=4 
calibrating gyro, hold still...
offZ=-88 offX=-252 offY=-24 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,22,999,999,1,0,0,3,0,0,0,0,0,0,0,0,5,-255,-34,0,0
0,21,67,8,1,1,0,3,0,0,0,0,0,0,0,0,0,-251,-23,0,0
0,22,68,8,1,1,0,3,0,0,0,0,0,0,0,0,-12,-246,-31,0,0
0,22,68,8,1,1,0,3,0,0,0,0,0,0,0,0,5,-253,-16,0,0
0,21,67,8,1,1,0,3,0,0,0,0,0,0,0,0,3,-249,-17,0,0
0,21,69,8,1,1,0,3,0,0,0,0,0,0,0,0,-7,-244,-27,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-10,-255,-26,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,3,-251,-27,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-12,-249,-19,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,3,-255,-27,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,13,-250,-14,0,0
0,20,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-8,-240,-30,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-3,-253,-27,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-20,-252,-10,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-20,-238,-17,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-7,-250,-36,0,0
0,20,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-6,-250,-16,0,0
0,20,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-15,-250,-19,0,0
0,20,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-8,-256,-24,0,0
0,21,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-17,-254,-22,0,0
0,20,999,8,1,1,0,3,0,0,0,0,0,0,0,0,-20,-260,-22,0,0
